Year,SpaceX,US,SpaceX Ratio
2010,2,25,8
2011,1,15,6.666666667
2012,2,19,10.52631579
2013,4,16,25
2014,5,24,20.83333333
2015,6,20,30
2016,8,22,36.36363636
2017,11,29,37.93103448
2018,20,31,64.51612903
2019,12,21,57.14285714
2020,16,37,43.24324324
2021,29,45,64.44444444
2022,50,78,64.1025641
2023,89,109,81.65137615
2024,138,145,95.17241379
2025,51,56,91.07142857
