epoch,flightNo,id,cosparLaunchNo,failure
1961-02-18T23:02:24+00:00,261/1102,188,1961-006,False
1961-02-22T03:50:24+00:00,313/AB007,189,1961-007,False
1961-02-25T00:14:24+00:00,AM-19F,5246,1961-F01,True
1961-03-09T06:28:48+00:00,E103-14,4245,1961-008,False
1961-03-25T06:00:00+00:00,E103-15,2117,1961-009,False
1961-03-25T15:21:36+00:00,295/D004,385,1961-010,False
1961-03-30T20:38:24+00:00,300/1105,5473,1961-F02,True
1961-04-08T19:26:24+00:00,307/1106,37,1961-011,False
1961-04-12T06:00:00+00:00,E103-16,2129,1961-012,False
1961-04-25T16:19:12+00:00,100D,5474,1961-F03,True
1961-04-27T14:09:36+00:00,AM-19E,2164,1961-013,False
1961-05-24T19:55:12+00:00,AM-19G,5247,1961-F04,True
1961-06-08T21:21:36+00:00,302/1108,5475,1961-F05,True
1961-06-16T23:02:24+00:00,303/1107,39,1961-014,False
1961-06-29T04:19:12+00:00,315/AB008,40,1961-015,False
1961-06-30T17:02:24+00:00,ST-5,5476,1961-F06,True
1961-07-07T23:31:12+00:00,308/1109,4357,1961-016,False
1961-07-12T10:19:12+00:00,286/D005,2130,1961-017,False
1961-07-12T15:07:12+00:00,97D/1201,4230,1961-018,False
1961-07-21T22:33:36+00:00,322/1110,5477,1961-F07,True
1961-08-04T00:00:00+00:00,309/1111,5478,1961-F08,True
1961-08-06T06:00:00+00:00,E103-17,41,1961-019,False
1961-08-16T03:21:36+00:00,312/D006,42,1961-020,False
1961-08-23T10:04:48+00:00,111D/6001 (AA1),135,1961-021,False
1961-08-25T18:28:48+00:00,ST-6,2122,1961-022,False
1961-08-30T19:55:12+00:00,323/1112,136,1961-023,False
1961-09-09T19:26:24+00:00,106D/2120,5479,1961-F09,True
1961-09-12T19:55:12+00:00,310/1113,137,1961-024,False
1961-09-13T14:09:36+00:00,88D,138,1961-025,False
1961-09-17T21:07:12+00:00,324/1114,139,1961-026,False
1961-10-13T19:26:24+00:00,328/1115,140,1961-027,False
1961-10-21T13:55:12+00:00,105D/1202,141,1961-028,False
1961-10-23T19:26:24+00:00,329/1116,5481,1961-F10,True
1961-10-27T16:33:36+00:00,1LK,5482,1961-F11,True
1961-11-01T15:36:00+00:00,D-8,5483,1961-F12,True
1961-11-05T19:55:12+00:00,330/1117,4386,1961-029,False
1961-11-15T21:21:36+00:00,326/1118,142,1961-030,False
1961-11-15T22:19:12+00:00,305/AB009,143,1961-031,False
1961-11-18T08:09:36+00:00,117D/6002 (AA2),144,1961-032,False
1961-11-22T20:52:48+00:00,108D/2202,5484,1961-F13,True
1961-11-29T15:07:12+00:00,93D,2123,1961-033,False
1961-12-11T09:36:00+00:00,E103-21,5485,1961-F14,True
1961-12-12T20:38:24+00:00,325/1119,4358,1961-034,False
1961-12-21T12:28:48+00:00,2LK,5486,1961-F15,True
1961-12-22T19:12:00+00:00,114D/2203,145,1961-035,False
1962-01-13T21:36:00+00:00,327/1120,5487,1962-F01,True
1962-01-24T09:36:00+00:00,311/AB010,5488,1962-F02,True
1962-01-26T20:24:00+00:00,121D/6003 (AA3),4387,1962-001,False
1962-02-08T12:43:12+00:00,317/D007,146,1962-002,False
1962-02-20T14:52:48+00:00,109D,2124,1962-003,False
1962-02-21T18:43:12+00:00,332/2301,2109,1962-004,False
1962-02-27T19:40:48+00:00,241/1123,4388,1962-005,False
1962-03-07T16:04:48+00:00,301/D008,147,1962-006,False
1962-03-07T22:04:48+00:00,112D/2204,4389,1962-007,False
1962-03-16T12:00:00+00:00,6LK,2125,1962-008,False
1962-04-06T17:16:48+00:00,5LK,148,1962-009,False
1962-04-09T15:07:12+00:00,110D/1203,149,1962-010,False
1962-04-18T00:57:36+00:00,331/1124,4390,1962-011,False
1962-04-23T20:52:48+00:00,133D/6004 (AA4),463,1962-012,False
1962-04-24T04:04:48+00:00,4LK,4214,1962-013,False
1962-04-26T10:04:48+00:00,E103-20,150,1962-014,False
1962-04-26T10:48:00+00:00,S111,5248,1962-F03,True
1962-04-26T18:00:00+00:00,320/D009,4391,1962-015,False
1962-04-26T18:57:36+00:00,118D/2401,433,1962-016,False
1962-04-29T00:28:48+00:00,333/1125,151,1962-017,False
1962-05-10T12:00:00+00:00,314/AB011,5489,1962-F04,True
1962-05-15T19:40:48+00:00,334/1126,4392,1962-018,False
1962-05-24T00:00:00+00:00,S112,5490,1962-F05,True
1962-05-24T12:43:12+00:00,107D,4241,1962-019,False
1962-05-28T02:52:48+00:00,3LK,454,1962-020,False
1962-05-30T00:57:36+00:00,336/1128,4393,1962-021,False
1962-06-01T09:36:00+00:00,E 15000- 01,5491,1962-F06,True
1962-06-02T00:28:48+00:00,335/1127,152,1962-022,False
1962-06-17T18:14:24+00:00,115D/2402,19,1962-023,False
1962-06-18T20:24:00+00:00,343/2312,20,1962-024,False
1962-06-19T12:14:24+00:00,321/D010,21,1962-025,False
1962-06-23T00:28:48+00:00,339/1129,2155,1962-026,False
1962-06-28T01:12:00+00:00,340/1151,22,1962-027,False
1962-06-30T16:04:48+00:00,None,4394,1962-028,False
1962-07-10T08:38:24+00:00,316/D011,23,1962-029,False
1962-07-18T20:52:48+00:00,120D/2403,2156,1962-030,False
1962-07-21T00:57:36+00:00,342/1130,2126,1962-031,False
1962-07-22T09:21:36+00:00,145D/6901 (AA5),5492,1962-F07,True
1962-07-28T00:28:48+00:00,347/1131,2157,1962-032,False
1962-07-28T09:21:36+00:00,T 15000- 07,4395,1962-033,False
1962-08-02T00:14:24+00:00,344/1152,24,1962-034,False
1962-08-05T18:00:00+00:00,124D/2404,2103,1962-035,False
1962-08-11T08:24:00+00:00,E103-23,4396,1962-036,False
1962-08-12T07:55:12+00:00,E103-22,25,1962-037,False
1962-08-18T14:52:48+00:00,None,4397,1962-038,False
1962-08-23T11:31:12+00:00,S117,26,1962-039,False
1962-08-25T02:24:00+00:00,T103-12,4398,1962-040,False
1962-08-27T06:57:36+00:00,179D/6902 (AA6),406,1962-041,False
1962-08-29T00:57:36+00:00,349/1153,2148,1962-042,False
1962-09-01T02:09:36+00:00,T103-13,4399,1962-043,False
1962-09-01T20:38:24+00:00,348/1132,430,1962-044,False
1962-09-12T00:57:36+00:00,T103-14,431,1962-045,False
1962-09-17T23:45:36+00:00,350/1133,432,1962-046,False
1962-09-18T08:52:48+00:00,318/D012,4400,1962-047,False
1962-09-27T09:36:00+00:00,T 15000- 06,27,1962-048,False
1962-09-29T06:00:00+00:00,341/6101 (TA1),4401,1962-049,False
1962-09-29T23:31:12+00:00,351/1154,434,1962-050,False
1962-10-02T22:04:48+00:00,345/D013,2206,1962-051,False
1962-10-03T12:14:24+00:00,113D,4279,1962-052,False
1962-10-09T18:28:48+00:00,352/1134,435,1962-053,False
1962-10-17T09:07:12+00:00,T 15000- 03,389,1962-054,False
1962-10-18T17:02:24+00:00,215D/6005 (AA7),4402,1962-055,False
1962-10-20T04:04:48+00:00,None,390,1962-056,False
1962-10-24T18:00:00+00:00,T103-15,4217,1962-057,False
1962-10-25T06:57:36+00:00,7LK,5493,1962-F08,True
1962-10-26T16:19:12+00:00,353/1401,391,1962-058,False
1962-10-27T23:16:48+00:00,346/D014,4403,1962-059,False
1962-10-31T08:09:36+00:00,319/AB012,4273,1962-060,False
1962-11-01T16:19:12+00:00,T103-16,2112,1962-061,False
1962-11-04T15:36:00+00:00,T103-17,4271,1962-062,False
1962-11-05T22:04:48+00:00,356/1136,386,1962-063,False
1962-11-11T20:24:00+00:00,128D/2405,387,1962-064,False
1962-11-24T22:04:48+00:00,367/1135,2113,1962-065,False
1962-12-04T21:36:00+00:00,361/1155,388,1962-066,False
1962-12-13T04:04:48+00:00,365/2351,172,1962-067,False
1962-12-13T23:31:12+00:00,355/D015,173,1962-068,False
1962-12-14T21:21:36+00:00,368/1156,2133,1962-069,False
1962-12-16T14:38:24+00:00,S115,4404,1962-070,False
1962-12-17T20:38:24+00:00,131D/1205,5494,1962-F09,True
1962-12-19T01:26:24+00:00,S118,3,1962-071,False
1962-12-22T09:21:36+00:00,T 15000- 10,4405,1962-072,False
1963-01-04T08:52:48+00:00,T103-09,4,1963-001,False
1963-01-07T21:07:12+00:00,369/1157,2158,1963-002,False
1963-01-16T22:04:48+00:00,363/2313,4406,1963-003,False
1963-02-03T09:36:00+00:00,G103-10,5495,1963-F01,True
1963-02-14T05:31:12+00:00,358/D016,5,1963-004,False
1963-02-19T16:48:00+00:00,S126,2159,1963-005,False
1963-02-28T21:50:24+00:00,354/1159,5496,1963-F02,True
1963-03-18T21:07:12+00:00,360/1164,5497,1963-F03,True
1963-03-21T08:24:00+00:00,T 15000- 01,4407,1963-006,False
1963-04-01T23:02:24+00:00,376/1160,2134,1963-007,False
1963-04-02T08:09:36+00:00,G103-11,6,1963-008,False
1963-04-03T01:55:12+00:00,357/D017,4408,1963-009,False
1963-04-05T03:07:12+00:00,S119,5498,1963-F04,True
1963-04-06T03:07:12+00:00,None,5499,1963-F05,True
1963-04-13T11:02:24+00:00,None,4225,1963-010,False
1963-04-22T08:24:00+00:00,T 15000- 08,2111,1963-011,False
1963-04-26T00:00:00+00:00,S121,5500,1963-F06,True
1963-04-26T20:09:36+00:00,372/1411,5501,1963-F07,True
1963-04-28T08:52:48+00:00,E 15000- 02,4409,1963-012,False
1963-05-07T11:31:12+00:00,366/D018,28,1963-013,False
1963-05-09T20:09:36+00:00,119D/1206,4410,1963-014,False
1963-05-15T12:57:36+00:00,130D,29,1963-015,False
1963-05-18T22:19:12+00:00,364/1165,4411,1963-016,False
1963-05-22T02:52:48+00:00,None,30,1963-017,False
1963-05-24T10:33:36+00:00,E 15000- 12,4412,1963-018,False
1963-06-01T02:52:48+00:00,None,5502,1963-F08,True
1963-06-12T00:00:00+00:00,139D/1204,5249,1963-F09,True
1963-06-13T00:00:00+00:00,362/1161,31,1963-019,False
1963-06-14T12:00:00+00:00,E103-24,4215,1963-020,False
1963-06-15T14:24:00+00:00,378/2353,4413,1963-021,False
1963-06-16T01:55:12+00:00,S120,32,1963-022,False
1963-06-16T09:36:00+00:00,E103-25,4414,1963-023,False
1963-06-19T09:50:24+00:00,359/D019,33,1963-024,False
1963-06-27T00:43:12+00:00,381/1166,2127,1963-025,False
1963-06-28T21:21:36+00:00,S113,4415,1963-026,False
1963-06-29T22:33:36+00:00,380/2314,34,1963-027,False
1963-07-10T00:00:00+00:00,None,5503,1963-F10,True
1963-07-12T20:52:48+00:00,201D/4702,2110,1963-028,False
1963-07-19T00:00:00+00:00,388/1412,4416,1963-029,False
1963-07-19T03:50:24+00:00,75D/1207,35,1963-030,False
1963-07-26T14:38:24+00:00,370/D020,4417,1963-031,False
1963-07-31T00:00:00+00:00,382/1167,36,1963-032,False
1963-08-06T06:00:00+00:00,None,4229,1963-033,False
1963-08-22T06:00:00+00:00,None,5504,1963-F11,True
1963-08-25T00:28:48+00:00,377/1162,2094,1963-034,False
1963-08-29T20:24:00+00:00,394/1169,2218,1963-035,False
1963-09-06T19:26:24+00:00,212D/4701,4418,1963-036,False
1963-09-23T23:02:24+00:00,383/1163,2219,1963-037,False
1963-09-27T11:16:48+00:00,S132,5505,1963-F12,True
1963-09-28T20:24:00+00:00,375/AB013,4419,1963-038,False
1963-10-17T02:38:24+00:00,197D/1801,2095,1963-039,False
1963-10-18T09:36:00+00:00,G 15001- 01,2178,1963-040,False
1963-10-24T04:33:36+00:00,None,5506,1963-F13,True
1963-10-25T18:57:36+00:00,224D/4703,2162,1963-041,False
1963-10-29T21:21:36+00:00,386/1601,2179,1963-042,False
1963-11-01T08:52:48+00:00,E 15003- 02A,2180,1963-043,False
1963-11-09T20:24:00+00:00,400/1171,5507,1963-F14,True
1963-11-11T06:28:48+00:00,G 15000- 17/G10318,2181,1963-044,False
1963-11-16T10:33:36+00:00,G 15000- 06,4420,1963-045,False
1963-11-27T02:24:00+00:00,387/D021,2182,1963-046,False
1963-11-27T18:57:36+00:00,AC-2,2096,1963-047,False
1963-11-27T21:21:36+00:00,406/1172,4421,1963-048,False
1963-11-28T09:21:36+00:00,G 15001- 02,5292,1963-F15,True
1963-12-05T21:50:24+00:00,385/AB015,4422,1963-049,False
1963-12-13T14:09:36+00:00,None,2183,1963-050,False
