OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036WA,2025-04-02T13:14:58.570656,14.41130396,.0018728,74.0466,18.9018,143.8412,29.1426,0,U,34588,999,84287,.84676E-3,.2709E-4,0
COSMOS 2251 DEB,1993-036WB,2025-04-02T02:02:34.816416,13.85602976,.024971,73.9238,129.7632,124.0833,271.0727,0,U,34589,999,81184,.67139E-3,.957E-5,0
COSMOS 2251 DEB,1993-036WC,2025-04-02T07:12:33.252768,14.54421013,.0071343,74.0418,83.7048,277.5482,143.2546,0,U,34590,999,85421,.30903E-3,.1329E-4,0
COSMOS 2251 DEB,1993-036WE,2025-04-02T15:07:24.542688,14.20666047,.0145268,73.7350,210.6951,110.7740,262.4979,0,U,34609,999,83022,.16228E-2,.3864E-4,0
COSMOS 2251 DEB,1993-036WF,2025-04-01T10:08:10.198464,14.05235665,.01882,74.0217,349.3470,178.5141,181.6597,0,U,34610,999,81971,.13275E-2,.2492E-4,0
COSMOS 2251 DEB,1993-036WG,2025-04-02T12:36:34.388064,14.64571117,.0027457,74.0556,230.8369,343.6541,136.2416,0,U,34611,999,84663,.31806E-2,.16988E-3,0
COSMOS 2251 DEB,1993-036WJ,2025-04-02T13:11:15.092736,14.24250752,.0116785,73.9682,19.2593,264.7733,270.2533,0,U,34613,999,82841,.22696E-2,.5597E-4,0
COSMOS 2251 DEB,1993-036WK,2025-04-02T00:21:57.392640,14.12328176,.0201848,73.8804,80.3120,128.7264,290.5266,0,U,34614,999,81164,.45034E-2,.10046E-3,0
COSMOS 2251 DEB,1993-036WL,2025-04-02T10:19:52.478400,13.51779290,.0398837,74.0086,341.8289,300.7143,237.4538,0,U,34615,999,79378,.84953E-3,.892E-5,0
COSMOS 2251 DEB,1993-036WQ,2025-04-02T01:46:34.926240,14.63745240,.0094759,74.0466,328.9356,130.4160,230.5324,0,U,34619,999,85571,.38424E-3,.2105E-4,0
COSMOS 2251 DEB,1993-036WR,2025-04-01T01:28:59.733408,14.43688377,.0087321,74.0531,336.2244,81.6094,279.4951,0,U,34620,999,83131,.4146E-2,.14753E-3,0
COSMOS 2251 DEB,1993-036WT,2025-04-01T13:33:22.178592,14.20829240,.0111416,74.0437,44.3449,190.0051,290.6668,0,U,34622,999,82834,.11937E-2,.2722E-4,0
