OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051DG,2025-04-02T02:10:26.223456,14.32264497,.0088147,86.1943,113.5875,108.1523,252.9294,0,U,34097,999,83471,.17705E-2,.5004E-4,0
IRIDIUM 33 DEB,1997-051DR,2025-04-02T12:07:03.228672,15.39680033,.0013403,86.3110,89.6158,112.5239,11.6949,0,U,34106,999,85384,.10926E-1,.457725E-2,0
IRIDIUM 33 DEB,1997-051DY,2025-04-02T00:14:28.057344,14.40163600,.0053505,86.2075,85.7335,209.8453,149.9693,0,U,34145,999,83969,.1744E-2,.5623E-4,0
IRIDIUM 33 DEB,1997-051DZ,2025-04-02T12:39:05.514624,14.46967536,.0028724,86.2784,101.8717,358.0427,162.3637,0,U,34146,999,84428,.16023E-2,.5872E-4,0
IRIDIUM 33 DEB,1997-051EN,2025-04-02T09:53:54.438432,14.37710459,.0029876,86.3550,156.5920,46.1213,314.2445,0,U,34159,999,84304,.6477E-3,.1976E-4,0
IRIDIUM 33 DEB,1997-051ES,2025-04-02T12:59:26.492640,14.44559453,.0018805,86.3234,113.0373,261.1936,252.8599,0,U,34350,999,84622,.60884E-3,.2128E-4,0
IRIDIUM 33 DEB,1997-051FJ,2025-04-02T10:48:25.792992,14.51168347,.0019251,86.3748,159.5822,273.4035,97.8786,0,U,34366,999,84491,.1579E-2,.6301E-4,0
IRIDIUM 33 DEB,1997-051FT,2025-04-02T12:25:56.763840,14.17331376,.0101917,86.4244,285.1668,213.9601,174.6865,0,U,34375,999,83110,.92504E-3,.1985E-4,0
IRIDIUM 33 DEB,1997-051FU,2025-04-02T07:41:08.823264,14.57353292,.0025654,86.2988,120.3692,322.2947,37.6462,0,U,34376,999,84295,.28967E-2,.13211E-3,0
IRIDIUM 33 DEB,1997-051GB,2025-04-02T14:15:16.073856,14.83358371,.0008068,86.3961,127.9903,311.6400,178.4172,0,U,34486,999,85205,.34871E-2,.28702E-3,0
IRIDIUM 33 DEB,1997-051GC,2025-04-02T08:18:48.511584,14.42749685,.0028907,86.3405,121.8742,250.3387,121.0448,0,U,34487,999,84580,.34578E-3,.1176E-4,0
IRIDIUM 33 DEB,1997-051GD,2025-04-01T15:45:54.045792,14.97094173,.0011679,86.3268,68.1450,189.1013,171.0007,0,U,34488,999,85392,.44123E-2,.51277E-3,0
IRIDIUM 33 DEB,1997-051GH,2025-04-02T05:19:18.727392,14.17460115,.0214655,86.4740,76.7613,334.9345,35.4744,0,U,34492,999,81444,.13965E-1,.3566E-3,0
IRIDIUM 33 DEB,1997-051GN,2025-04-02T03:40:20.634240,14.26376882,.008391,86.2828,161.0239,78.7580,311.2082,0,U,34497,999,83253,.95493E-3,.24E-4,0
IRIDIUM 33 DEB,1997-051GZ,2025-04-02T08:28:52.043232,14.36201263,.006515,86.3767,210.1414,285.8199,73.5821,0,U,34508,999,83655,.23067E-2,.6912E-4,0
IRIDIUM 33 DEB,1997-051HN,2025-04-02T03:29:19.951584,14.59846589,.0005608,86.3812,142.2623,79.4021,280.7820,0,U,34521,999,84754,.1355E-2,.6501E-4,0
IRIDIUM 33 DEB,1997-051HS,2025-04-02T10:35:12.329952,14.42077882,.0004353,86.3767,155.2987,177.3331,195.2464,0,U,34525,999,84422,.64404E-3,.2134E-4,0
IRIDIUM 33 DEB,1997-051HW,2025-04-02T02:28:53.607936,14.40241367,.0004071,86.3658,143.9450,346.1238,13.9848,0,U,34529,999,84476,.36793E-3,.1183E-4,0
IRIDIUM 33 DEB,1997-051JF,2025-04-02T07:16:19.081632,14.40799805,.0038605,86.2732,116.8109,82.8040,44.8384,0,U,34538,999,84090,.12002E-2,.3894E-4,0
IRIDIUM 33 DEB,1997-051JH,2025-04-02T08:59:49.105824,14.69875204,.001854,86.3130,63.2613,343.7511,169.9411,0,U,34540,999,85278,.29188E-2,.17543E-3,0
IRIDIUM 33 DEB,1997-051JZ,2025-04-02T05:57:47.075328,14.07732280,.0196678,86.4004,24.1399,15.3850,345.3192,0,U,34648,999,81377,.76177E-2,.15415E-3,0
IRIDIUM 33 DEB,1997-051KC,2025-04-01T11:09:29.447424,14.22038748,.0153045,86.2818,248.7699,301.2006,57.4256,0,U,34651,999,82263,.37623E-2,.9392E-4,0
IRIDIUM 33 DEB,1997-051KD,2025-04-02T11:19:45.363648,14.59310889,.0032757,86.3271,92.9269,80.6350,73.4260,0,U,34652,999,84772,.18091E-2,.8638E-4,0
IRIDIUM 33 DEB,1997-051KM,2025-04-02T03:00:37.222848,14.53460471,.0013285,86.3808,147.5249,135.9255,255.1442,0,U,34690,999,84394,.10503E-2,.44E-4,0
IRIDIUM 33 DEB,1997-051KQ,2025-04-01T16:28:51.661056,14.96236880,.0010702,86.3200,66.3893,203.4545,330.1021,0,U,34693,999,85070,.4547E-2,.51685E-3,0
IRIDIUM 33 DEB,1997-051KT,2025-04-02T03:30:08.941248,14.51831534,.0080675,86.1949,144.3720,307.6882,105.5304,0,U,34696,999,82965,.5076E-2,.21377E-3,0
IRIDIUM 33 DEB,1997-051KZ,2025-04-01T05:43:21.046656,15.28287811,.0019347,86.2856,18.2504,82.6671,277.6775,0,U,34702,999,85624,.68179E-2,.193313E-2,0
IRIDIUM 33 DEB,1997-051LJ,2025-04-02T14:23:04.627104,14.39618144,.0015354,86.3388,141.7491,343.4684,145.1816,0,U,34765,999,83956,.67093E-3,.2118E-4,0
IRIDIUM 33 DEB,1997-051LU,2025-04-02T14:48:54.891936,14.93178524,.0017277,86.3360,139.7012,80.5537,45.4966,0,U,34775,999,84547,.64506E-2,.68114E-3,0
IRIDIUM 33 DEB,1997-051MH,2025-04-01T22:07:13.101888,14.50418122,.0018837,86.3969,160.5979,224.5826,190.7835,0,U,34833,999,84027,.11223E-2,.4412E-4,0
IRIDIUM 33 DEB,1997-051MQ,2025-04-01T04:53:59.805024,14.70818733,.002043,86.3116,70.5005,10.4405,1.3878,0,U,34870,999,85148,.2848E-2,.175E-3,0
IRIDIUM 33 DEB,1997-051MY,2025-04-02T05:32:14.207136,14.63241031,.0028879,86.3262,80.4926,15.7921,355.9567,0,U,34896,999,83894,.2114E-2,.10985E-3,0
IRIDIUM 33 DEB,1997-051NF,2025-04-02T08:36:43.440768,14.44954616,.0102592,86.1471,125.0593,61.2833,310.9105,0,U,34926,999,82773,.6412E-2,.23919E-3,0
IRIDIUM 33 DEB,1997-051NH,2025-04-02T06:29:04.636320,15.05516667,.0017821,86.3790,94.2702,139.4800,220.7766,0,U,34928,999,62405,.51439E-2,.74931E-3,0
IRIDIUM 33 DEB,1997-051NR,2025-04-02T10:27:53.384256,14.40812544,.0020646,86.3748,165.2157,350.4583,21.2113,0,U,34985,999,83512,.80491E-3,.2601E-4,0
IRIDIUM 33 DEB,1997-051NX,2025-04-02T00:41:15.312480,14.46113107,.0007233,86.3211,119.7563,197.5942,162.5011,0,U,35051,999,83313,.9343E-3,.3355E-4,0
IRIDIUM 33 DEB,1997-051NY,2025-04-02T08:48:10.754496,14.38088954,.0011132,86.3292,129.5127,185.9789,174.1278,0,U,35052,999,83619,.3297E-3,.1019E-4,0
IRIDIUM 33 DEB,1997-051PF,2025-04-01T11:46:13.122624,14.60032556,.0084508,86.2179,171.2782,339.2680,20.5108,0,U,35080,999,65937,.76993E-2,.39057E-3,0
