OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092Q,2025-04-02T10:25:24.087648,15.33471373,.0132335,82.3434,93.3733,194.5817,165.1595,0,U,49527,999,17810,.57447E-2,.252855E-2,0
COSMOS 1408 DEB,1982-092AA,2025-04-01T18:49:08.709312,15.43729170,.0075767,82.5452,4.1445,117.7002,243.1960,0,U,49537,999,18599,.11435E-2,.57827E-3,0
COSMOS 1408 DEB,1982-092RU,2025-04-02T15:01:23.909088,15.42784920,.001824,82.5636,318.3252,57.5554,302.7454,0,U,50032,999,18682,.17107E-3,.7567E-4,0
COSMOS 1408 DEB,1982-092SW,2025-04-01T22:13:49.747872,15.51051029,.0020953,82.6146,333.0969,324.2433,35.7414,0,U,50058,999,18840,.40254E-3,.2369E-3,0
COSMOS 1408 DEB,1982-092ADS,2025-04-02T11:00:53.586720,14.79123023,.02845,82.2222,106.7472,325.1209,33.1639,0,U,50404,999,17400,.60834E-2,.9098E-3,0
COSMOS 1408 DEB,1982-092ALR,2025-04-02T02:22:04.117728,15.45285556,.0037077,82.5761,336.6510,6.9691,353.2065,0,U,50621,999,18305,.4819E-3,.23617E-3,0
COSMOS 1408 DEB,1982-092AZJ,2025-04-02T13:19:21.041760,15.89674716,.0007078,82.4738,293.0030,231.1502,128.9139,0,U,51184,999,18172,.69632E-3,.204352E-2,.13661E-4
COSMOS 1408 DEB,1982-092BUU,2025-03-21T19:08:44.501856,15.76395812,.0043552,82.4950,21.1284,193.9459,166.0608,0,U,52066,999,16898,.26753E-2,.469714E-2,0
