OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CA,2025-04-02T13:12:25.723872,14.29782134,.0060213,98.9473,4.3695,317.6247,217.9594,0,U,29784,999,94726,.10246E-2,.2638E-4,0
FENGYUN 1C DEB,1999-025CC,2025-04-02T13:41:39.234336,14.08900097,.0076892,98.7533,117.2636,301.4614,185.2921,0,U,29786,999,93581,.29247E-3,.476E-5,0
FENGYUN 1C DEB,1999-025CE,2025-04-02T10:26:10.279680,14.23751550,.0044492,98.7946,163.7189,203.2727,168.0936,0,U,29788,999,93734,.27661E-2,.6345E-4,0
FENGYUN 1C DEB,1999-025CF,2025-04-02T01:01:36.785568,13.53411912,.0299527,99.4585,285.7302,201.2862,284.3012,0,U,29789,999,89541,.32487E-2,.2857E-4,0
FENGYUN 1C DEB,1999-025CG,2025-04-01T21:34:46.613568,14.31665916,.0076717,99.1286,72.4562,195.5053,164.3777,0,U,29790,999,94878,.52184E-3,.1388E-4,0
FENGYUN 1C DEB,1999-025CH,2025-04-02T12:06:45.946080,14.53824018,.0046167,99.0283,72.2409,109.1157,19.6461,0,U,29791,999,95146,.36488E-2,.15521E-3,0
FENGYUN 1C DEB,1999-025CJ,2025-04-02T08:43:51.301344,14.13853209,.004937,98.7738,147.5599,42.4608,318.0367,0,U,29792,999,93343,.1824E-2,.3454E-4,0
FENGYUN 1C DEB,1999-025CK,2025-04-02T11:58:25.982976,14.00125189,.014285,98.3712,292.6856,335.9308,52.8997,0,U,29793,999,92590,.15147E-2,.24E-4,0
FENGYUN 1C DEB,1999-025CL,2025-04-02T11:00:16.682688,14.08236280,.0159067,98.1843,274.1524,50.4547,339.2532,0,U,29794,999,93268,.95685E-3,.1798E-4,0
FENGYUN 1C DEB,1999-025CM,2025-04-01T23:03:03.198816,13.92759240,.011117,98.8334,232.3910,254.7522,233.4581,0,U,29795,999,92518,.27538E-3,.332E-5,0
